SenderOriginal,SenderMapped,Day,Date,Time,Year,Subject
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Sat,01-Nov,14:06:33,2014,"[Student-notices] On the Spot Events in Avenues and ProNite by	Javed Ali"
IITB Mailing List Manager,Mailman,Sat,01-Nov,6:00:02,2014,"[Student-notices] Methodology for getting/setting mailing list	passwords"
G.S. Sports,GS Sports,Fri,31-Oct,18:00:07,2014,"[Student-notices] Sports Yatra Registrations || Mumbai City FC vs	Kerala Blasters FC"
PRO,PRO,Fri,31-Oct,17:29:11,2014,"[Student-notices] Screening of movie ""Sardar"" today at 8 pm"
"G.Sec., UG Academic Affairs",GSAA,Fri,31-Oct,17:21:24,2014,"[Student-notices] Reminder for Winter Social Fellowships by	Abhyuday, IIT Bombay"
Security Officer,CSO,Fri,31-Oct,16:57:41,2014,"[Student-notices] Lost & Found - Bag, Calculator & Spectacle"
"General Secretary, Cultural Affairs",GS Cult,Fri,31-Oct,15:37:14,2014,[Student-notices] Battle of the Bands | 1st November | 6 pm | OAT
"General Secretary, Cultural Affairs",GS Cult,Fri,31-Oct,15:36:30,2014,[Student-notices] Solus Rex Lone Wolf Quiz | Tomorrow (1st Nov)
Executive Electrical,Executive Electrical,Fri,31-Oct,13:38:30,2014,"[Student-notices] Power Shut down notice (All labs of F-1, 2,	3 sheds, S1-bay)"
"General Secretary, Cultural Affairs",GS Cult,Fri,31-Oct,11:16:31,2014,[Student-notices] Movie Screening - 'Sardar (1993)' || 31st October - Today || 8pm at FC Kohli Auditorium
"General Secretary, Hostel Affairs",GSHA,Fri,31-Oct,10:16:23,2014,"[Student-notices] Information Session: Technical University of	Munich"
PRO IIT Bombay,PRO,Fri,31-Oct,9:35:08,2014,"[Student-notices] REMINDER - Interavtive Session with His Excellency Dr. Ali bin Masoud Al Sunaidy on October 31, 2014"
G.S. Sports,GS Sports,Fri,31-Oct,2:37:56,2014,[Student-notices] Unity Run || 31st October 6:30 PM
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Thu,30-Oct,23:13:33,2014,[Student-notices] Start-up Conclave in Avenues 2014
InsIghT Chief Editor,Insight Chief-Ed,Thu,30-Oct,20:37:06,2014,[Student-notices] Mid Term Work Report for UG & PG Academic Councils
Office Dean SA,Dean SA,Thu,30-Oct,16:49:37,2014,"[Student-notices] Avenues - Annual Business Extravaganza at IIT	Bombay"
Office Dean SA,Dean SA,Thu,30-Oct,16:38:36,2014,"[Student-notices] Talk by Rang De - Social Microfinancing Organisation at Avenues, IIT Bombay"
Security Officer,CSO,Thu,30-Oct,16:11:17,2014,[Student-notices] Lost-Degree Certificate
Security Officer,CSO,Thu,30-Oct,16:07:36,2014,[Student-notices] Lost-Degree Certificate
PRO IIT Bombay,PRO,Thu,30-Oct,12:39:34,2014,"[Student-notices] Invite - Interavtive Session with His Excellency Dr. Ali bin Masoud Al Sunaidy on October 31, 2014"
Registrar IIT Bombay,Registrar,Thu,30-Oct,12:35:08,2014,[Student-notices] URGENT-Rashtriya Ekta Divas Circular
Registrar IIT Bombay,Registrar,Thu,30-Oct,12:03:18,2014,[Student-notices] URGENT-Rashtriya Ekta Divas Circular
PRO,PRO,Thu,30-Oct,12:05:03,2014,"[Student-notices] Painting competition for school students on	October 30, 2014"
PRO IIT Bombay,PRO,Thu,30-Oct,11:44:52,2014,"[Student-notices] Invite - Interavtive Session with His Excellency Dr. Ali bin Masoud Al Sunaidy on October 31, 2014"
PRO IIT Bombay,PRO,Thu,30-Oct,11:38:07,2014,"[Student-notices] REMINDER - Prof. Daulat Singh Kothari Memorial Lecture on October 30, 2014"
Registrar IIT Bombay,Registrar,Thu,30-Oct,10:52:10,2014,[Student-notices] URGENT-Rashtriya Ekta Divas Circular
Office Dean Academic,Dean Acad,Thu,30-Oct,10:22:08,2014,[Student-notices] Reg. S. N.Bose Scholarship Program 2015
General Secretary Hostel Affairs,GSHA,Wed,29-Oct,23:45:48,2014,"[Student-notices] Information Session: Technical University of	Munich"
General Secretary Hostel Affairs,GSHA,Wed,29-Oct,23:28:56,2014,[Student-notices] Avenues Nite 2014 | Javed Ali Entry Policy
"G.Sec., UG Academic Affairs",GSAA,Wed,29-Oct,21:50:21,2014,"[Student-notices] ""Smart Campus"" weeklong workshop : Solutions to Socio-Technical Problems"
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Wed,29-Oct,20:08:08,2014,"[Student-notices] 'Qwest' - Online Treasure Hunt by SJM - School of	Management"
GS Sports,GS Sports,Wed,29-Oct,18:38:40,2014,"[Student-notices] Athletics GC || Announcement and Ground	reservation"
PRO IIT Bombay,PRO,Wed,29-Oct,9:50:14,2014,"[Student-notices] REMINDER - Second Annual Indira Foundation Distinguished Lecture on October 29, 2014 (Today)"
General Secretary Hostel Affairs,GSHA,Tue,28-Oct,23:57:44,2014,[Student-notices] Working condition of PHO workers in hostels
General Secretary Hostel Affairs,GSHA,Tue,28-Oct,23:35:45,2014,[Student-notices] Survey: Cycle Pooling System
"G.Sec., UG Academic Affairs",GSAA,Tue,28-Oct,23:28:41,2014,"[Student-notices] Group Study For Freshmen : Tutorial Services	Centre"
"G.Sec., UG Academic Affairs",GSAA,Tue,28-Oct,18:23:54,2014,"[Student-notices] DAAD,	Campus France : Informative Session || 30th October, 2014"
InsIghT Chief Editor,Insight Chief-Ed,Tue,28-Oct,16:02:14,2014,"[Student-notices] Reminder | Open House on Gender Equality | 8pm,	IRCC Auditorium"
Office Dean SA,Dean SA,Tue,28-Oct,15:47:26,2014,"[Student-notices] Mashal || Donation campaign for eradicating	illiteracy"
Head BSBE,Head BSBE,Tue,28-Oct,14:41:53,2014,"[Student-notices] SPR training on 31st Oct, 2014"
Head BSBE,Head BSBE,Tue,28-Oct,11:44:29,2014,"[Student-notices] SPR training on 31st Oct, 2014"
Office Dean Academic,Dean Acad,Tue,28-Oct,11:21:11,2014,"[Student-notices] End Sem. Time Table for Autumn 2014-15 for common	courses"
Registrar IIT Bombay,Registrar,Tue,28-Oct,11:03:33,2014,[Student-notices] Letter of hindi Patrika article
Office Dean SA,Dean SA,Tue,28-Oct,10:44:15,2014,"[Student-notices] Vaccination Drive on 29th, 30th and 31st Oct"
"G.Sec., UG Academic Affairs",GSAA,Tue,28-Oct,10:38:14,2014,[Student-notices] Winter Social Fellowships by Abhyuday
"G.Sec., UG Academic Affairs",GSAA,Mon,27-Oct,17:16:07,2014,"[Student-notices] ""Sparkle 2015"" Contest : Interactive Session	|| 27/10/2014"
Security Officer,CSO,Mon,27-Oct,16:50:59,2014,[Student-notices] Lost & Found - Pendant
PRO,PRO,Mon,27-Oct,15:22:44,2014,"[Student-notices] Invite - Prof. Daulat Singh Kothari Memorial Lecture on October 30, 2014"
InsIghT Chief Editor,Insight Chief-Ed,Mon,27-Oct,12:57:22,2014,"[Student-notices] Open House on Gender (In)Equality | 8 PM |	Tomorrow"
"General Secretary, Cultural Affairs",GS Cult,Mon,27-Oct,11:16:48,2014,"[Student-notices] Gen Quiz GC | 8:30 pm, 30th Oct, LCH 101 | 25 Cult GC points at stake!"
G.S. Sports,GS Sports,Mon,27-Oct,9:07:05,2014,[Student-notices] Venue Booking || TT Girls GC
"G.Sec., UG Academic Affairs",GSAA,Sun,26-Oct,22:10:37,2014,"[Student-notices] ""Sparkle 2015"" Contest : Interactive Session	|| 27/10/2014"
General Secretary Hostel Affairs,GSHA,Sun,26-Oct,22:07:59,2014,[Student-notices] Schedule for Institute General Body Meeting
"G.Sec., UG Academic Affairs",GSAA,Sun,26-Oct,21:21:21,2014,"[Student-notices] ""Sparkle 2015"" Contest : Interactive Session ||	27/10/2014"
G.S. Sports,GS Sports,Sun,26-Oct,16:37:55,2014,[Student-notices] Manchester United vs Chelsea || Live Screening
GS Sports,GS Sports,Sat,25-Oct,20:44:08,2014,[Student-notices] Real Madrid vs Barcelona || OAT screening
Executive Electrical,Executive Electrical,Sat,25-Oct,19:47:25,2014,"[Student-notices] Reminder Power Shut down notice  Hostel Area , hill side, TCS area, Aero, Earth sci etc."
Executive Electrical,Executive Electrical,Sat,25-Oct,19:42:37,2014,"[Student-notices] Reminder Power shut down notice (MB, MB Annex, CSE-Dept, Mech Dept, HPCC, Library)."
InsIghT Chief Editor,Insight Chief-Ed,Sat,25-Oct,15:09:54,2014,[Student-notices] Gender (in)equality and safety of women on campus
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Wed,22-Oct,23:52:39,2014,[Student-notices] PhD fellowship increased
Librarian IIT Bombay,Librarian,Wed,22-Oct,11:44:52,2014,[Student-notices] Central Library will remain closed on 23.10.2014
Office Dean SA,Dean SA,Wed,22-Oct,11:25:23,2014,"[Student-notices] SAC premises and Badminton courts closed on 23rd & 24th October, 2014"
Office Dean SA,Dean SA,Wed,22-Oct,11:20:45,2014,"[Student-notices] Swimming Pool closed for members on 23rd October,	2014"
Dean Student Affairs,Dean SA,Wed,22-Oct,7:49:59,2014,"[Student-notices] Mumbai University contests - Indian Science	Congress 2015"
General Secretary Hostel Affairs,GSHA,Wed,22-Oct,3:22:28,2014,[Student-notices] Hudhud cyclone donation
Executive Electrical,Executive Electrical,Tue,21-Oct,17:44:18,2014,"[Student-notices] Power shut down notice (MB, MB Annex, CSE-Dept, Mech Dept, HPCC, Library)."
InsIghT Chief Editor,Insight Chief-Ed,Mon,20-Oct,21:27:29,2014,[Student-notices] Mid-Term Institute Facilities Review
Executive Electrical,Executive Electrical,Mon,20-Oct,19:13:10,2014,"[Student-notices] Power Shut down notice of  A1 to A5,	B 11 to 13 buildings."
Executive Electrical,Executive Electrical,Mon,20-Oct,19:04:53,2014,"[Student-notices] Power Shut down notice  Hostel Area , hill side, TCS area, Aero, Earth sci etc."
"G.Sec., UG Academic Affairs",GSAA,Mon,20-Oct,14:23:46,2014,"[Student-notices] Unraveling Consulting : Session By Ishank Gupta and Devanshu Mathur, BCG"
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Sun,19-Oct,16:13:39,2014,[Student-notices] MHRD policy improvement | Call for participants
Pradip Tirmare,Other,Sun,19-Oct,14:32:29,2014,"[Student-notices] Network down at [ A1-A3, B1, B6, B11-B16,	Guest house, Hospital ]"
GS Sports,GS Sports,Sun,19-Oct,2:13:11,2014,"[Student-notices] Inter IIT Contingent Leader || Call for	Nomination"
"General Secretary, Cultural Affairs",GS Cult,Sat,18-Oct,20:10:54,2014,[Student-notices] Launching Spandan 2.0 - The Hindi Creative Writing Magazine of IIT Bombay
Dean Academic IITB,Dean Acad,Sat,18-Oct,16:24:48,2014,[Student-notices] Announcing the GE Edison Challenge-2014
General Secretary Hostel Affairs,GSHA,Sat,18-Oct,15:46:03,2014,"[Student-notices] Breast Cancer Awareness|Invitation to the Walk	for Life"
"G.Sec., UG Academic Affairs",GSAA,Sat,18-Oct,14:34:38,2014,[Student-notices] Finance Bootcamp 2014 || Session III and IV
"G.Sec., UG Academic Affairs",GSAA,Fri,17-Oct,18:12:00,2014,[Student-notices] [UGs and PGs] Project : Content Development for High School Teachers
"G.Sec., UG Academic Affairs",GSAA,Fri,17-Oct,18:03:35,2014,"[Student-notices] Deadline Extension : Opportunity to give a talk at TedX Gateway, Techfest IIT Bombay"
"G.Sec., UG Academic Affairs",GSAA,Fri,17-Oct,17:43:51,2014,"[Student-notices] CARGILL Scholarships : Attention UG 2nd Year	Students"
Executive Electrical,Executive Electrical,Fri,17-Oct,17:10:13,2014,[Student-notices] Power Shutdown notice of Civil Engineering Dept.
Office Dean SA,Dean SA,Fri,17-Oct,16:56:04,2014,"[Student-notices] Digital Startups-From Idea to IPO | E-cell IIT	Bombay | 19th Oct"
PRO,PRO,Fri,17-Oct,16:35:14,2014,"[Student-notices] Swachh Bharat Abhiyan -- Cleanliness Drive on	Sunday at Y-Point Gate"
Security Officer,CSO,Fri,17-Oct,12:02:00,2014,[Student-notices] Lost - Wallet
Security Officer,CSO,Fri,17-Oct,11:55:16,2014,[Student-notices] Lost & Found -  Micromax mobile
Office Dean Academic,Dean Acad,Fri,17-Oct,11:35:39,2014,[Student-notices] Reminder - Adjustments in the  timetable
Executive Electrical,Executive Electrical,Thu,16-Oct,18:43:50,2014,"[Student-notices] Power Shut down notice  Elect Engg Dept, Met Dept"
"General Secretary, Cultural Affairs",GS Cult,Thu,16-Oct,17:14:36,2014,"[Student-notices] TheatreFest Day 3 Play: ""Bade Miyan Deewane"" | Today | 7:30 PM | Convocation Hall"
Librarian IIT Bombay,Librarian,Thu,16-Oct,17:12:08,2014,[Student-notices] No Power Supply in the Library
Security Officer,CSO,Thu,16-Oct,15:25:21,2014,"[Student-notices] Mock Drill by National Security Guard on 18th Oct	2014"
Office Dean SA,Dean SA,Thu,16-Oct,12:22:02,2014,"[Student-notices] TheatreFest Day 3 Play: ""Bade Miyan Deewane"" | Today | 7:30 PM | Convocation Hall"
Executive Electrical,Executive Electrical,Thu,16-Oct,11:25:08,2014,[Student-notices] Power Shut down notice of Library.
"General Secretary, Cultural Affairs",GS Cult,Wed,15-Oct,16:37:04,2014,"[Student-notices] TheatreFest Day 2 Play: ""Sir Sir Sarla"" | Today | 7:30 PM | Convocation Hall"
IITB Mailing List Manager,Mailman,Wed,15-Oct,6:00:01,2014,"[Student-notices] Methodology for getting/setting mailing list	passwords"
"Professor-In-Charge, Placement",PIC Placements,Tue,14-Oct,23:00:11,2014,[Student-notices] Reminder- Call for Interview Coordinators - Institute Placement Team (LH 101)
"Professor-In-Charge, Placement",PIC Placements,Tue,14-Oct,20:06:22,2014,[Student-notices] Reminder- Call for Interview Coordinators - Institute Placement Team (LH 101)
Devang Khakhar,Director,Tue,14-Oct,19:43:23,2014,"[Student-notices] Fwd: Gentle Reminder: Bhaskara Advanced Solar	Energy Fellowship Program-2015"
Office Dean SA,Dean SA,Tue,14-Oct,17:29:17,2014,"[Student-notices] LEGAL BASICS FOR STARTUPS| E-CELL, IIT BOMBAY"
Office Dean SA,Dean SA,Tue,14-Oct,16:48:07,2014,"[Student-notices] Swimming Pool remain closed on 15th October, 2014"
Security Officer,CSO,Tue,14-Oct,14:38:36,2014,"[Student-notices] Lost & Found - Watch, Keys & Mobile"
"G.Sec., UG Academic Affairs",GSAA,Tue,14-Oct,13:39:18,2014,[Student-notices] Hangrr.com - Discounted Placement Wear
"G.Sec., UG Academic Affairs",GSAA,Tue,14-Oct,13:34:15,2014,[Student-notices] Invitation to join Team Shunya
Office Dean Academic,Dean Acad,Tue,14-Oct,12:09:18,2014,[Student-notices] CH 107 tutorials for 1st year UG students
Office Dean SA,Dean SA,Tue,14-Oct,12:05:37,2014,"[Student-notices] Invitation for TheatreFest 2014 | Today |	Convocation Hall | 7:30PM"
PRO IIT Bombay,PRO,Tue,14-Oct,11:58:37,2014,"[Student-notices] Invite - Second Annual Indira Foundation Distinguished Lecture on October 29, 2014"
Office Dean Academic,Dean Acad,Tue,14-Oct,11:43:28,2014,"[Student-notices] Reminder - [Faculty-notices] Adjustments in the	timetable"
"Professor-In-Charge, Placement",PIC Placements,Mon,13-Oct,20:25:48,2014,"[Student-notices] Call for Interview Coordinators - Institute	Placement Team"
GS Sports,GS Sports,Mon,13-Oct,18:29:11,2014,[Student-notices] Inter IIT Trials || Table Tennis || Reminder
dean.ap at iitb.ac.in,Dean AP,Mon,13-Oct,16:50:25,2014,"[Student-notices] Student discipline in classes - special attention	to first year students"
Office Dean SA,Dean SA,Mon,13-Oct,14:41:15,2014,[Student-notices] Invitation for Theatrefest 2014 | 14th-16th October | Professional Theatre Showcase | Convocation Hall
Office Dean Academic,Dean Acad,Mon,13-Oct,12:54:28,2014,"[Student-notices] CH 107 Quiz on Fri., 17/10/2014 from 6 pm to 8 pm"
Librarian IIT Bombay,Librarian,Mon,13-Oct,12:54:00,2014,[Student-notices] Central Library to remain open on 15th October
"General Secretary, Cultural Affairs",GS Cult,Mon,13-Oct,5:30:28,2014,"[Student-notices] Gyrations, Dance General Championship || 13th October, 7:30 PM || Convocation Hall"
GS Sports,GS Sports,Mon,13-Oct,3:07:12,2014,[Student-notices] Mixed Sitoliya Tournament || Registrations
General Secretary Hostel Affairs,GSHA,Mon,13-Oct,2:28:33,2014,[Student-notices] Room Cleaning on Weekdays| General Hostel Cleaning
"G.Sec., UG Academic Affairs",GSAA,Sun,12-Oct,22:44:22,2014,"[Student-notices] 'Parivikriyan' The Virtual Online Trading Competition | Finance Club, IIT Bombay"
"General Secretary, Cultural Affairs",GS Cult,Sun,12-Oct,19:22:17,2014,"[Student-notices] Techfest International Coding Challenge -	Screening Round"
"General Secretary, Cultural Affairs",GS Cult,Sun,12-Oct,9:15:08,2014,"[Student-notices] Hindi Utsav - Kavi Sammelan, Bollywood Quiz and Spandan Launch | LCH 102 | Today"
"General Secretary, Cultural Affairs",GS Cult,Sun,12-Oct,9:10:46,2014,"[Student-notices] Music Instruments stall in SAC from 1PM to 4PM	today (Oct 12)"
"General Secretary, Cultural Affairs",GS Cult,Sun,12-Oct,9:09:16,2014,[Student-notices] Booksbyweight Expo starting at 11 am today in SAC
General Secretary Hostel Affairs,GSHA,Sun,12-Oct,2:52:39,2014,[Student-notices] Hostel Affairs Open Discussions
General Secretary Hostel Affairs,GSHA,Sun,12-Oct,2:14:24,2014,"[Student-notices] Android Wear by Google || Tech and R&D Expo,	12th Oct, VMCC"
General Secretary Hostel Affairs,GSHA,Sat,11-Oct,22:20:00,2014,"[Student-notices] Reminder: B-Planning with Housing.com | Student	Alumni Meet"
General Secretary Hostel Affairs,GSHA,Sat,11-Oct,22:18:36,2014,"[Student-notices] Reminder: Spark event on 'Import Subsitution' |	Student Alumni Meet"
"G.Sec., UG Academic Affairs",GSAA,Sat,11-Oct,19:09:41,2014,"[Student-notices] Opportunity to give a talk at TedX Gateway,	Techfest IIT Bombay"
GS Sports,GS Sports,Sat,11-Oct,15:30:02,2014,"[Student-notices] ""Mashāl"" Dream Run || Crossy GC || Reminder"
Office Dean Rnd,Dean R&D,Sat,11-Oct,13:59:46,2014,"[Student-notices] Hiyoshi Internship program 2015 - Application	opens"
"General Secretary, Cultural Affairs",GS Cult,Sat,11-Oct,11:52:53,2014,[Student-notices] Hindi Utsav | LCH 102 | Today and Tomorrow
"General Secretary, Cultural Affairs",GS Cult,Sat,11-Oct,11:52:03,2014,[Student-notices] Booksbyweight Expo starting at 11 am today in SAC
Dean Student Affairs,Dean SA,Sat,11-Oct,9:56:33,2014,[Student-notices] Wellness and Care @ IITB
GS Sports,GS Sports,Fri,10-Oct,19:16:51,2014,"[Student-notices] Institute Chess Open-II || Inter IIT chess	selection"
GS Sports,GS Sports,Fri,10-Oct,19:12:16,2014,"[Student-notices] ""Mashāl"" Dream Run || Crossy GC"
"General Secretary, Cultural Affairs",GS Cult,Fri,10-Oct,17:35:34,2014,"[Student-notices] Surbahaar - The Biggest Music Night of the Institute | Oct 10, 8 PM onwards, Convocation Hall"
Office Dean SA,Dean SA,Fri,10-Oct,16:59:14,2014,[Student-notices] Reminder | Segreta - The Online Crypt Hunt by Techfest starts at 6PM Today
Office Dean ACR,Dean ACR,Fri,10-Oct,16:22:20,2014,[Student-notices] Details of Events during Student Alumni Meet on 11th and 12th October
Executive Electrical,Executive Electrical,Fri,10-Oct,16:22:05,2014,"[Student-notices] Power Shut down notice of  PG/UG labs, energy sci, civil soil lab, N-4, N-5 bay."
Office Dean SA,Dean SA,Fri,10-Oct,16:07:23,2014,"[Student-notices] (Certified) FAST TRACK COURSE ON ENTREPRENEURSHIP | E-CELL, IIT BOMBAY"
Associate Dean (Student Affairs),ADean SA,Fri,10-Oct,15:59:01,2014,[Student-notices] Reminder: December
"General Secretary, Cultural Affairs",GS Cult,Fri,10-Oct,15:27:01,2014,"[Student-notices] Adobe Illustrator workshop Class 2 | Date Changed	to 11th October"
"General Secretary, Cultural Affairs",GS Cult,Fri,10-Oct,15:25:57,2014,"[Student-notices] Ramanand's India Quiz | 19:47 hrs,	11th Oct | All are invited"
Office Dean SA,Dean SA,Fri,10-Oct,14:14:41,2014,"[Student-notices] Invitation to Tech and R&D Expo 2014 || 11th &	12th Oct, VMCC"
"General Secretary, Cultural Affairs",GS Cult,Fri,10-Oct,13:27:12,2014,"[Student-notices] Illustrator workshop class 2 | Date Changed to	11th October"
Office Dean ACR,Dean ACR,Fri,10-Oct,13:10:41,2014,[Student-notices] Panel  discussion during Student Alumni Meet
Office Dean ACR,Dean ACR,Fri,10-Oct,13:08:36,2014,[Student-notices] Core Weekend during Student Alumni Meet
General Secretary Hostel Affairs,GSHA,Fri,10-Oct,12:32:36,2014,[Student-notices] B-Planning with Housing.com | Student Alumni Meet
Dean Student Affairs,Dean SA,Fri,10-Oct,9:04:50,2014,"[Student-notices] Exhibition and Institute Lecture today Friday 10	Oct."
"G.Sec., UG Academic Affairs",GSAA,Fri,10-Oct,1:07:45,2014,"[Student-notices] Finance Boot-Camp,	Springboard Your Career In Finance (14/10/2014)"
"General Secretary, Hostel Affairs",GSHA,Fri,10-Oct,0:12:22,2014,"[Student-notices] Spark event on 'Import Subsitution' | Student	Alumni Meet"
Dean Student Affairs,Dean SA,Thu,09-Oct,23:07:27,2014,[Student-notices] Invitation to Tech & RnD Expo 2014
Dean Student Affairs,Dean SA,Thu,09-Oct,23:07:11,2014,[Student-notices] Invitation to Tech & RnD Expo 2014
Office Dean Academic,Dean Acad,Thu,09-Oct,18:23:32,2014,[Student-notices] UG & PG spring semester fee circular
Office Dean Academic,Dean Acad,Thu,09-Oct,18:12:27,2014,"[Student-notices] Sat, 18/10/14 will follow Wed., 15/10/14 timetable"
"G.Sec., UG Academic Affairs",GSAA,Thu,09-Oct,17:29:37,2014,"[Student-notices] Final phase of recruiting – Team TechGSR, Abhyuday"
"G.Sec., UG Academic Affairs",GSAA,Thu,09-Oct,17:29:32,2014,"[Student-notices] Final phase of recruiting – Team TechGSR, Abhyuday"
Office Dean ACR,Dean ACR,Thu,09-Oct,17:15:08,2014,"[Student-notices] Invitation to Student Alumni Meet 2014, IITBombay"
Office Dean SA,Dean SA,Thu,09-Oct,16:41:50,2014,[Student-notices] (no subject)
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Thu,09-Oct,11:43:28,2014,[Student-notices] World Mental Health Day events
Devang Khakhar,Director,Thu,09-Oct,11:36:15,2014,[Student-notices] Fwd: Invitation for ICCIG 2015
PRO IIT Bombay,PRO,Thu,09-Oct,11:14:10,2014,"[Student-notices] Correction: [REMINDER - Institute Lecture on	October 10, 2014]"
PRO IIT Bombay,PRO,Thu,09-Oct,11:04:30,2014,"[Student-notices] REMINDER - Institute Distinguished Lecture in Memory of Prof. C.V. Seshadri on October 9, 2014"
GS Sports,GS Sports,Thu,09-Oct,10:51:36,2014,[Student-notices] Mixed Cricket Tournament || Registrations
"General Secretary, Cultural Affairs",GS Cult,Thu,09-Oct,10:41:58,2014,[Student-notices] Hindi Utsav | 11th and 12th October
PRO IIT Bombay,PRO,Thu,09-Oct,10:11:49,2014,"[Student-notices] REMINDER - Institute Lecture on October 10,	2014 (Today)"
Executive Electrical,Executive Electrical,Wed,08-Oct,22:27:13,2014,"[Student-notices] Power Shut down notice of  Bio, physics, L1, L2,	L3, Chemical Dept."
"General Secretary, Cultural Affairs",GS Cult,Wed,08-Oct,18:06:10,2014,"[Student-notices] Reminder: Registrations for Fashion Classes | Today, 9-10 PM SAC Theatre Room/Old Yoga Room"
"G.Sec., UG Academic Affairs",GSAA,Wed,08-Oct,16:25:19,2014,[Student-notices] Hangrr.com - Discounted Placement Wear
"G.Sec., UG Academic Affairs",GSAA,Wed,08-Oct,14:28:55,2014,"[Student-notices] Final Reminder, [UG & PG] : Research Poster Symposium [Deadline Extension, 6th October, 2014]]"
GS Sports,GS Sports,Wed,08-Oct,14:21:40,2014,[Student-notices] Hockey IIT Bombay Team || Trials-cum-Training camp
"General Secretary, Cultural Affairs",GS Cult,Wed,08-Oct,14:20:53,2014,[Student-notices] IIT Bombay Culturals: Feedback
Executive Electrical,Executive Electrical,Wed,08-Oct,10:21:46,2014,[Student-notices] Power Shutdown notice of Mechanical Dept.
"General Secretary, Cultural Affairs",GS Cult,Wed,08-Oct,5:55:11,2014,"[Student-notices] Surbahaar - The Biggest Music Night of the Institute | Oct 10, 8 PM onwards, Convocation Hall"
"General Secretary, Cultural Affairs",GS Cult,Wed,08-Oct,5:27:46,2014,"[Student-notices] Kathak Classes by Mrs. Jonaki Raghavan | No	pre-requisites"
GS Sports,GS Sports,Tue,07-Oct,23:53:29,2014,[Student-notices] Yoga classes || For UGs and PGs
G.S. Sports,GS Sports,Tue,07-Oct,22:39:25,2014,[Student-notices] Inter-IIT Trials || Table Tennis
"G.Sec., UG Academic Affairs",GSAA,Tue,07-Oct,21:48:25,2014,"[Student-notices] Call for Technical Projects : STAB,	Tech and RnD Exposition"
General Secretary Hostel Affairs,GSHA,Tue,07-Oct,20:40:38,2014,"[Student-notices] Reminder: SARCasm | Online crypt hunt organised by SARC, Prizes worth 10K at stake"
GS Sports,GS Sports,Tue,07-Oct,18:37:59,2014,"[Student-notices] REMINDER: Web Project || Associated stipend from	Gymkhana || Call for applications"
InsIghT Chief Editor,Insight Chief-Ed,Tue,07-Oct,17:39:16,2014,[Student-notices] Reminder | All Team Meet | 9pm | SOM Well
PRO IIT Bombay,PRO,Tue,07-Oct,17:12:16,2014,"[Student-notices] Invite - Institute Lecture on October 10, 2014"
Office Dean SA,Dean SA,Tue,07-Oct,16:52:30,2014,[Student-notices] PITCHING WORKSHOP | 8th October | 6:45 PM | LH 101
Office Dean SA,Dean SA,Tue,07-Oct,16:40:59,2014,[Student-notices] Badminton Hall Closed notice
Office Dean SA,Dean SA,Tue,07-Oct,16:30:19,2014,[Student-notices] Techfest All Team Meet | 8th October | 7:30 PM
Office Dean ACR,Dean ACR,Tue,07-Oct,16:18:17,2014,"[Student-notices] SARCasm | Online crypt hunt organised by SARC, Prizes worth 10K at stake"
Raju Waghmare,Other,Tue,07-Oct,14:46:49,2014,[Student-notices] IITB Wireless Network Shutdown for Maintenance
"G.Sec., UG Academic Affairs",GSAA,Tue,07-Oct,8:35:27,2014,"[Student-notices] [UG & PG] : Research Poster Symposium [Deadline Extension, 6th October, 2014]"
"General Secretary, Cultural Affairs",GS Cult,Tue,07-Oct,8:30:43,2014,[Student-notices] Vision- The Photography and Design Festival of IIT Bombay | Competitions.Workshops.Exhibition | Prizes worth INR 5000
"General Secretary, Cultural Affairs",GS Cult,Tue,07-Oct,7:25:53,2014,"[Student-notices] Registrations for first-ever Fashion Classes in IIT Bombay by Lifestyle Club | 8th October, 9-10PM SAC"
"General Secretary, Cultural Affairs",GS Cult,Tue,07-Oct,6:45:33,2014,[Student-notices] Nominations for Roots International Convention Managers 2015 | Deadline today
"General Secretary, Cultural Affairs",GS Cult,Tue,07-Oct,6:05:20,2014,"[Student-notices] Open Gen Quiz 2.0 | 8:00 pm, 8th October, LCH 102"
"G.Sec., UG Academic Affairs",GSAA,Tue,07-Oct,1:05:43,2014,"[Student-notices] Tutorial Help Sessions : MA 105, PH 107"
InsIghT Chief Editor,Insight Chief-Ed,Mon,06-Oct,18:43:15,2014,[Student-notices] All Team Meet Tomorrow
GS Sports,GS Sports,Mon,06-Oct,13:17:03,2014,"[Student-notices] Web Project || Associated stipend from Gymkhana	|| Call for	applications"
GS Sports,GS Sports,Mon,06-Oct,7:50:03,2014,[Student-notices] Complaint Management System || Sports Affairs
GS Sports,GS Sports,Mon,06-Oct,3:17:36,2014,[Student-notices] Inter IIT Contingent Leader || Call for Nomination
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG,Sun,05-Oct,19:56:33,2014,[Student-notices] Aakash tablet distribution - Phase 7
